project,cve,cwe,full_name,vul_version,vul_url,vul_zip,vul_markup_file,patch_version,patch_url,patch_zip,patch_markup_file
jackson-databind,CVE-2018-14718,CWE-502,FasterXML/jackson-databind,jackson-databind-jackson-databind-2.0.0-RC3,https://github.com/FasterXML/jackson-databind/releases/tag/jackson-databind-2.0.0-RC3,https://github.com/FasterXML/jackson-databind/archive/refs/tags/jackson-databind-2.0.0-RC3.zip,jackson-databind_CVE-2018-14718_jackson-databind-jackson-databind-2.0.0-RC3.csv,jackson-databind-jackson-databind-2.9.10.2,https://github.com/FasterXML/jackson-databind/releases/tag/jackson-databind-2.9.10.2,https://github.com/FasterXML/jackson-databind/archive/refs/tags/jackson-databind-2.9.10.2.zip,jackson-databind_CVE-2018-14718_jackson-databind-jackson-databind-2.9.10.2.csv
jackson-databind,CVE-2020-36186,CWE-502,FasterXML/jackson-databind,jackson-databind-jackson-databind-2.9.10.7,https://github.com/FasterXML/jackson-databind/releases/tag/jackson-databind-2.9.10.7,https://github.com/FasterXML/jackson-databind/archive/refs/tags/jackson-databind-2.9.10.7.zip,jackson-databind_CVE-2020-36186_jackson-databind-jackson-databind-2.9.10.7.csv,jackson-databind-jackson-databind-2.9.10.8,https://github.com/FasterXML/jackson-databind/releases/tag/jackson-databind-2.9.10.8,https://github.com/FasterXML/jackson-databind/archive/refs/tags/jackson-databind-2.9.10.8.zip,jackson-databind_CVE-2020-36186_jackson-databind-jackson-databind-2.9.10.8.csv
qpid-proton-j,CVE-2018-17187,CWE-295,apache/qpid-proton-j,qpid-proton-j-python-qpid-proton-0.15.0.post1,https://github.com/apache/qpid-proton-j/releases/tag/python-qpid-proton-0.15.0.post1,https://github.com/apache/qpid-proton-j/archive/refs/tags/python-qpid-proton-0.15.0.post1.zip,qpid-proton-j_CVE-2018-17187_qpid-proton-j-python-qpid-proton-0.15.0.post1.csv,qpid-proton-j-0.30.0,https://github.com/apache/qpid-proton-j/releases/tag/0.30.0,https://github.com/apache/qpid-proton-j/archive/refs/tags/0.30.0.zip,qpid-proton-j_CVE-2018-17187_qpid-proton-j-0.30.0.csv
Prasanna,CVE-2019-1003010,CWE-352,jenkinsci/git-plugin,git-plugin-git-3.9.1,https://github.com/jenkinsci/git-plugin/releases/tag/git-3.9.1,https://github.com/jenkinsci/git-plugin/archive/refs/tags/git-3.9.1.zip,jenkinsci_CVE-2019-1003010_git-plugin-git-3.9.1.csv,git-plugin-git-4.0.0-beta9,https://github.com/jenkinsci/git-plugin/releases/tag/git-4.0.0-beta9,https://github.com/jenkinsci/git-plugin/archive/refs/tags/git-4.0.0-beta9.zip,jenkinsci_CVE-2019-1003010_git-plugin-git-4.0.0-beta9.csv
spring-data-commons,CVE-2018-1273,CWE-20,spring-projects/spring-data-commons,spring-data-commons-2.0.0.M4,https://github.com/spring-projects/spring-data-commons/releases/tag/2.0.0.M4,https://github.com/spring-projects/spring-data-commons/archive/refs/tags/2.0.0.M4.zip,spring-data-commons_CVE-2018-1273_spring-data-commons-2.0.0.M4.csv,spring-data-commons-2.1.0.M3,https://github.com/spring-projects/spring-data-commons/releases/tag/2.1.0.M3,https://github.com/spring-projects/spring-data-commons/archive/refs/tags/2.1.0.M3.zip,spring-data-commons_CVE-2018-1273_spring-data-commons-2.1.0.M3.csv
jackson-databind,CVE-2019-12384,CWE-502,FasterXML/jackson-databind,jackson-databind-jackson-databind-2.9.9,https://github.com/FasterXML/jackson-databind/releases/tag/jackson-databind-2.9.9,https://github.com/FasterXML/jackson-databind/archive/refs/tags/jackson-databind-2.9.9.zip,jackson-databind_CVE-2019-12384_jackson-databind-jackson-databind-2.9.9.csv,jackson-databind-jackson-databind-2.9.9.1,https://github.com/FasterXML/jackson-databind/releases/tag/jackson-databind-2.9.9.1,https://github.com/FasterXML/jackson-databind/archive/refs/tags/jackson-databind-2.9.9.1.zip,jackson-databind_CVE-2019-12384_jackson-databind-jackson-databind-2.9.9.1.csv
rdf4j,CVE-2018-20227,CWE-22,eclipse-rdf4j/rdf4j,rdf4j-2.4.2,https://github.com/eclipse-rdf4j/rdf4j/releases/tag/2.4.2,https://github.com/eclipse-rdf4j/rdf4j/archive/refs/tags/2.4.2.zip,rdf4j_CVE-2018-20227_rdf4j-2.4.2.csv,rdf4j-2.4.3,https://github.com/eclipse-rdf4j/rdf4j/releases/tag/2.4.3,https://github.com/eclipse-rdf4j/rdf4j/archive/refs/tags/2.4.3.zip,rdf4j_CVE-2018-20227_rdf4j-2.4.3.csv
tika,CVE-2015-3271,CWE-200,apache/tika,tika-1.8,https://github.com/apache/tika/releases/tag/1.8,https://github.com/apache/tika/archive/refs/tags/1.8.zip,tika_CVE-2015-3271_tika-1.8.csv,tika-1.10,https://github.com/apache/tika/releases/tag/1.10,https://github.com/apache/tika/archive/refs/tags/1.10.zip,tika_CVE-2015-3271_tika-1.10.csv
jackson-databind,CVE-2018-12023,CWE-502,FasterXML/jackson-databind,jackson-databind-jackson-databind-2.9.4,https://github.com/FasterXML/jackson-databind/releases/tag/jackson-databind-2.9.4,https://github.com/FasterXML/jackson-databind/archive/refs/tags/jackson-databind-2.9.4.zip,jackson-databind_CVE-2018-12023_jackson-databind-jackson-databind-2.9.4.csv,jackson-databind-jackson-databind-2.9.6,https://github.com/FasterXML/jackson-databind/releases/tag/jackson-databind-2.9.6,https://github.com/FasterXML/jackson-databind/archive/refs/tags/jackson-databind-2.9.6.zip,jackson-databind_CVE-2018-12023_jackson-databind-jackson-databind-2.9.6.csv
cxf-fediz,CVE-2016-4464,CWE-284,apache/cxf-fediz,cxf-fediz-fediz-1.3.0,https://github.com/apache/cxf-fediz/releases/tag/fediz-1.3.0,https://github.com/apache/cxf-fediz/archive/refs/tags/fediz-1.3.0.zip,cxf-fediz_CVE-2016-4464_cxf-fediz-fediz-1.3.0.csv,cxf-fediz-fediz-1.3.2,https://github.com/apache/cxf-fediz/releases/tag/fediz-1.3.2,https://github.com/apache/cxf-fediz/archive/refs/tags/fediz-1.3.2.zip,cxf-fediz_CVE-2016-4464_cxf-fediz-fediz-1.3.2.csv
swagger-codegen,CVE-2021-21363,CWE-378,swagger-api/swagger-codegen,swagger-codegen-2.4.18,https://github.com/swagger-api/swagger-codegen/releases/tag/v2.4.18,https://github.com/swagger-api/swagger-codegen/archive/refs/tags/v2.4.18.zip,swagger-codegen_CVE-2021-21363_swagger-codegen-2.4.18.csv,swagger-codegen-2.4.20,https://github.com/swagger-api/swagger-codegen/releases/tag/v2.4.20,https://github.com/swagger-api/swagger-codegen/archive/refs/tags/v2.4.20.zip,swagger-codegen_CVE-2021-21363_swagger-codegen-2.4.20.csv
zookeeper,CVE-2019-0201,CWE-862,apache/zookeeper,zookeeper-release-3.6.3-2,https://github.com/apache/zookeeper/releases/tag/release-3.6.3-2,https://github.com/apache/zookeeper/archive/refs/tags/release-3.6.3-2.zip,zookeeper_CVE-2019-0201_zookeeper-release-3.6.3-2.csv,zookeeper-release-3.7.0,https://github.com/apache/zookeeper/releases/tag/release-3.7.0,https://github.com/apache/zookeeper/archive/refs/tags/release-3.7.0.zip,zookeeper_CVE-2019-0201_zookeeper-release-3.7.0.csv
jackson-databind,CVE-2020-11113,CWE-502,FasterXML/jackson-databind,jackson-databind-jackson-databind-2.9.10,https://github.com/FasterXML/jackson-databind/releases/tag/jackson-databind-2.9.10,https://github.com/FasterXML/jackson-databind/archive/refs/tags/jackson-databind-2.9.10.zip,jackson-databind_CVE-2020-11113_jackson-databind-jackson-databind-2.9.10.csv,jackson-databind-jackson-databind-2.9.10.5,https://github.com/FasterXML/jackson-databind/releases/tag/jackson-databind-2.9.10.5,https://github.com/FasterXML/jackson-databind/archive/refs/tags/jackson-databind-2.9.10.5.zip,jackson-databind_CVE-2020-11113_jackson-databind-jackson-databind-2.9.10.5.csv
script-security-plugin,CVE-2019-1003000,CWE-96,jenkinsci/script-security-plugin,script-security-plugin-script-security-1.49,https://github.com/jenkinsci/script-security-plugin/releases/tag/script-security-1.49,https://github.com/jenkinsci/script-security-plugin/archive/refs/tags/script-security-1.49.zip,script-security-plugin_CVE-2019-1003000_script-security-plugin-script-security-1.49.csv,script-security-plugin-script-security-1.54.1,https://github.com/jenkinsci/script-security-plugin/releases/tag/script-security-1.54.1,https://github.com/jenkinsci/script-security-plugin/archive/refs/tags/script-security-1.54.1.zip,script-security-plugin_CVE-2019-1003000_script-security-plugin-script-security-1.54.1.csv
Openfire,CVE-2019-18394,CWE-918,igniterealtime/Openfire,Openfire-4.4.2,https://github.com/igniterealtime/Openfire/releases/tag/v4.4.2,https://github.com/igniterealtime/Openfire/archive/refs/tags/v4.4.2.zip,Openfire_CVE-2019-18394_Openfire-4.4.2.csv,Openfire-4.5.0,https://github.com/igniterealtime/Openfire/releases/tag/v4.5.0,https://github.com/igniterealtime/Openfire/archive/refs/tags/v4.5.0.zip,Openfire_CVE-2019-18394_Openfire-4.5.0.csv
picketlink-bindings,CVE-2015-6254,CWE-17,picketlink/picketlink-bindings,picketlink-bindings-2.6.0.CR5,https://github.com/picketlink/picketlink-bindings/releases/tag/v2.6.0.CR5,https://github.com/picketlink/picketlink-bindings/archive/refs/tags/v2.6.0.CR5.zip,picketlink-bindings_CVE-2015-6254_picketlink-bindings-2.6.0.CR5.csv,picketlink-bindings-2.6.1.Final,https://github.com/picketlink/picketlink-bindings/releases/tag/v2.6.1.Final,https://github.com/picketlink/picketlink-bindings/archive/refs/tags/v2.6.1.Final.zip,picketlink-bindings_CVE-2015-6254_picketlink-bindings-2.6.1.Final.csv
jackson-modules-java8,CVE-2018-1000873,CWE-20,FasterXML/jackson-modules-java8,jackson-modules-java8-jackson-modules-java8-2.9.6,https://github.com/FasterXML/jackson-modules-java8/releases/tag/jackson-modules-java8-2.9.6,https://github.com/FasterXML/jackson-modules-java8/archive/refs/tags/jackson-modules-java8-2.9.6.zip,jackson-modules-java8_CVE-2018-1000873_jackson-modules-java8-jackson-modules-java8-2.9.6.csv,jackson-modules-java8-jackson-modules-java8-2.9.8,https://github.com/FasterXML/jackson-modules-java8/releases/tag/jackson-modules-java8-2.9.8,https://github.com/FasterXML/jackson-modules-java8/archive/refs/tags/jackson-modules-java8-2.9.8.zip,jackson-modules-java8_CVE-2018-1000873_jackson-modules-java8-jackson-modules-java8-2.9.8.csv
directory-ldap-api,CVE-2018-1337,CWE-200,apache/directory-ldap-api,directory-ldap-api-1.0.0,https://github.com/apache/directory-ldap-api/releases/tag/1.0.0,https://github.com/apache/directory-ldap-api/archive/refs/tags/1.0.0.zip,directory-ldap-api_CVE-2018-1337_directory-ldap-api-1.0.0.csv,directory-ldap-api-1.0.2,https://github.com/apache/directory-ldap-api/releases/tag/1.0.2,https://github.com/apache/directory-ldap-api/archive/refs/tags/1.0.2.zip,directory-ldap-api_CVE-2018-1337_directory-ldap-api-1.0.2.csv
jackson-databind,CVE-2019-14893,CWE-502,FasterXML/jackson-databind,jackson-databind-jackson-databind-2.9.9,https://github.com/FasterXML/jackson-databind/releases/tag/jackson-databind-2.9.9,https://github.com/FasterXML/jackson-databind/archive/refs/tags/jackson-databind-2.9.9.zip,jackson-databind_CVE-2019-14893_jackson-databind-jackson-databind-2.9.9.csv,jackson-databind-jackson-databind-2.9.10.5,https://github.com/FasterXML/jackson-databind/releases/tag/jackson-databind-2.9.10.5,https://github.com/FasterXML/jackson-databind/archive/refs/tags/jackson-databind-2.9.10.5.zip,jackson-databind_CVE-2019-14893_jackson-databind-jackson-databind-2.9.10.5.csv
santuario-java,CVE-2013-4517,CWE-399,apache/santuario-java,santuario-java-1.5.5,https://github.com/apache/santuario-java/releases/tag/1.5.5,https://github.com/apache/santuario-java/archive/refs/tags/1.5.5.zip,santuario-java_CVE-2013-4517_santuario-java-1.5.5.csv,santuario-java-xmlsec-2.0.0-beta,https://github.com/apache/santuario-java/releases/tag/xmlsec-2.0.0-beta,https://github.com/apache/santuario-java/archive/refs/tags/xmlsec-2.0.0-beta.zip,santuario-java_CVE-2013-4517_santuario-java-xmlsec-2.0.0-beta.csv
json-smart-v2,CVE-2021-31684,CWE-787,netplex/json-smart-v2,json-smart-v2-2.4.1,https://github.com/netplex/json-smart-v2/releases/tag/2.4.1,https://github.com/netplex/json-smart-v2/archive/refs/tags/2.4.1.zip,json-smart-v2_CVE-2021-31684_json-smart-v2-2.4.1.csv,json-smart-v2-2.4.5,https://github.com/netplex/json-smart-v2/releases/tag/2.4.5,https://github.com/netplex/json-smart-v2/archive/refs/tags/2.4.5.zip,json-smart-v2_CVE-2021-31684_json-smart-v2-2.4.5.csv
jackson-databind,CVE-2020-36187,CWE-502,FasterXML/jackson-databind,jackson-databind-jackson-databind-2.9.10.7,https://github.com/FasterXML/jackson-databind/releases/tag/jackson-databind-2.9.10.7,https://github.com/FasterXML/jackson-databind/archive/refs/tags/jackson-databind-2.9.10.7.zip,jackson-databind_CVE-2020-36187_jackson-databind-jackson-databind-2.9.10.7.csv,jackson-databind-jackson-databind-2.9.10.8,https://github.com/FasterXML/jackson-databind/releases/tag/jackson-databind-2.9.10.8,https://github.com/FasterXML/jackson-databind/archive/refs/tags/jackson-databind-2.9.10.8.zip,jackson-databind_CVE-2020-36187_jackson-databind-jackson-databind-2.9.10.8.csv
sling-org-apache-sling-auth-core,CVE-2017-15700,CWE-200,apache/sling-org-apache-sling-auth-core,sling-org-apache-sling-auth-core-org.apache.sling.auth.core-1.4.0,https://github.com/apache/sling-org-apache-sling-auth-core/releases/tag/org.apache.sling.auth.core-1.4.0,https://github.com/apache/sling-org-apache-sling-auth-core/archive/refs/tags/org.apache.sling.auth.core-1.4.0.zip,sling-org-apache-sling-auth-core_CVE-2017-15700_sling-org-apache-sling-auth-core-org.apache.sling.auth.core-1.4.0.csv,sling-org-apache-sling-auth-core-org.apache.sling.auth.core-1.4.2,https://github.com/apache/sling-org-apache-sling-auth-core/releases/tag/org.apache.sling.auth.core-1.4.2,https://github.com/apache/sling-org-apache-sling-auth-core/archive/refs/tags/org.apache.sling.auth.core-1.4.2.zip,sling-org-apache-sling-auth-core_CVE-2017-15700_sling-org-apache-sling-auth-core-org.apache.sling.auth.core-1.4.2.csv
vertx-web,CVE-2020-35217,CWE-352,vert-x3/vertx-web,vertx-web-4.0.0-milestone4,https://github.com/vert-x3/vertx-web/releases/tag/4.0.0-milestone4,https://github.com/vert-x3/vertx-web/archive/refs/tags/4.0.0-milestone4.zip,vertx-web_CVE-2020-35217_vertx-web-4.0.0-milestone4.csv,vertx-web-4.0.1,https://github.com/vert-x3/vertx-web/releases/tag/4.0.1,https://github.com/vert-x3/vertx-web/archive/refs/tags/4.0.1.zip,vertx-web_CVE-2020-35217_vertx-web-4.0.1.csv
fess,CVE-2018-1000822,CWE-611,codelibs/fess,fess-fess-12.2.0,https://github.com/codelibs/fess/releases/tag/fess-12.2.0,https://github.com/codelibs/fess/archive/refs/tags/fess-12.2.0.zip,fess_CVE-2018-1000822_fess-fess-12.2.0.csv,fess-fess-12.2.3,https://github.com/codelibs/fess/releases/tag/fess-12.2.3,https://github.com/codelibs/fess/archive/refs/tags/fess-12.2.3.zip,fess_CVE-2018-1000822_fess-fess-12.2.3.csv
google-oauth-java-client,CVE-2020-7692,CWE-863,googleapis/google-oauth-java-client,google-oauth-java-client-1.30.5,https://github.com/googleapis/google-oauth-java-client/releases/tag/v1.30.5,https://github.com/googleapis/google-oauth-java-client/archive/refs/tags/v1.30.5.zip,google-oauth-java-client_CVE-2020-7692_google-oauth-java-client-1.30.5.csv,google-oauth-java-client-1.31.0,https://github.com/googleapis/google-oauth-java-client/releases/tag/v1.31.0,https://github.com/googleapis/google-oauth-java-client/archive/refs/tags/v1.31.0.zip,google-oauth-java-client_CVE-2020-7692_google-oauth-java-client-1.31.0.csv
qpid-broker-j,CVE-2018-8030,CWE-20,apache/qpid-broker-j,qpid-broker-j-7.0.4,https://github.com/apache/qpid-broker-j/releases/tag/7.0.4,https://github.com/apache/qpid-broker-j/archive/refs/tags/7.0.4.zip,qpid-broker-j_CVE-2018-8030_qpid-broker-j-7.0.4.csv,qpid-broker-j-7.0.5,https://github.com/apache/qpid-broker-j/releases/tag/7.0.5,https://github.com/apache/qpid-broker-j/archive/refs/tags/7.0.5.zip,qpid-broker-j_CVE-2018-8030_qpid-broker-j-7.0.5.csv
jackson-databind,CVE-2018-14720,CWE-611,FasterXML/jackson-databind,jackson-databind-jackson-databind-2.0.0-RC3,https://github.com/FasterXML/jackson-databind/releases/tag/jackson-databind-2.0.0-RC3,https://github.com/FasterXML/jackson-databind/archive/refs/tags/jackson-databind-2.0.0-RC3.zip,jackson-databind_CVE-2018-14720_jackson-databind-jackson-databind-2.0.0-RC3.csv,jackson-databind-jackson-databind-2.9.10.2,https://github.com/FasterXML/jackson-databind/releases/tag/jackson-databind-2.9.10.2,https://github.com/FasterXML/jackson-databind/archive/refs/tags/jackson-databind-2.9.10.2.zip,jackson-databind_CVE-2018-14720_jackson-databind-jackson-databind-2.9.10.2.csv
jackson-databind,CVE-2020-35728,CWE-502,FasterXML/jackson-databind,jackson-databind-jackson-databind-2.9.10.7,https://github.com/FasterXML/jackson-databind/releases/tag/jackson-databind-2.9.10.7,https://github.com/FasterXML/jackson-databind/archive/refs/tags/jackson-databind-2.9.10.7.zip,jackson-databind_CVE-2020-35728_jackson-databind-jackson-databind-2.9.10.7.csv,jackson-databind-jackson-databind-2.9.10.8,https://github.com/FasterXML/jackson-databind/releases/tag/jackson-databind-2.9.10.8,https://github.com/FasterXML/jackson-databind/archive/refs/tags/jackson-databind-2.9.10.8.zip,jackson-databind_CVE-2020-35728_jackson-databind-jackson-databind-2.9.10.8.csv
jackson-databind,CVE-2020-14062,CWE-502,FasterXML/jackson-databind,jackson-databind-jackson-databind-2.9.10,https://github.com/FasterXML/jackson-databind/releases/tag/jackson-databind-2.9.10,https://github.com/FasterXML/jackson-databind/archive/refs/tags/jackson-databind-2.9.10.zip,jackson-databind_CVE-2020-14062_jackson-databind-jackson-databind-2.9.10.csv,jackson-databind-jackson-databind-2.9.10.5,https://github.com/FasterXML/jackson-databind/releases/tag/jackson-databind-2.9.10.5,https://github.com/FasterXML/jackson-databind/archive/refs/tags/jackson-databind-2.9.10.5.zip,jackson-databind_CVE-2020-14062_jackson-databind-jackson-databind-2.9.10.5.csv
async-http-client,CVE-2017-14063,CWE-20,AsyncHttpClient/async-http-client,async-http-client-async-http-client-project-2.0.29,https://github.com/AsyncHttpClient/async-http-client/releases/tag/async-http-client-project-2.0.29,https://github.com/AsyncHttpClient/async-http-client/archive/refs/tags/async-http-client-project-2.0.29.zip,async-http-client_CVE-2017-14063_async-http-client-async-http-client-project-2.0.29.csv,async-http-client-async-http-client-project-2.1.0-alpha10,https://github.com/AsyncHttpClient/async-http-client/releases/tag/async-http-client-project-2.1.0-alpha10,https://github.com/AsyncHttpClient/async-http-client/archive/refs/tags/async-http-client-project-2.1.0-alpha10.zip,async-http-client_CVE-2017-14063_async-http-client-async-http-client-project-2.1.0-alpha10.csv
undertow,CVE-2018-1114,CWE-400,undertow-io/undertow,undertow-2.0.4.Final,https://github.com/undertow-io/undertow/releases/tag/2.0.4.Final,https://github.com/undertow-io/undertow/archive/refs/tags/2.0.4.Final.zip,undertow_CVE-2018-1114_undertow-2.0.4.Final.csv,undertow-2.0.40.Final,https://github.com/undertow-io/undertow/releases/tag/2.0.40.Final,https://github.com/undertow-io/undertow/archive/refs/tags/2.0.40.Final.zip,undertow_CVE-2018-1114_undertow-2.0.40.Final.csv
jackson-databind,CVE-2018-5968,CWE-184,FasterXML/jackson-databind,jackson-databind-jackson-databind-2.8.11,https://github.com/FasterXML/jackson-databind/releases/tag/jackson-databind-2.8.11,https://github.com/FasterXML/jackson-databind/archive/refs/tags/jackson-databind-2.8.11.zip,jackson-databind_CVE-2018-5968_jackson-databind-jackson-databind-2.8.11.csv,jackson-databind-jackson-databind-2.9.10.5,https://github.com/FasterXML/jackson-databind/releases/tag/jackson-databind-2.9.10.5,https://github.com/FasterXML/jackson-databind/archive/refs/tags/jackson-databind-2.9.10.5.zip,jackson-databind_CVE-2018-5968_jackson-databind-jackson-databind-2.9.10.5.csv
jackson-dataformats-binary,CVE-2020-28491,CWE-770,FasterXML/jackson-dataformats-binary,jackson-dataformats-binary-jackson-dataformats-binary-2.12.0,https://github.com/FasterXML/jackson-dataformats-binary/releases/tag/jackson-dataformats-binary-2.12.0,https://github.com/FasterXML/jackson-dataformats-binary/archive/refs/tags/jackson-dataformats-binary-2.12.0.zip,jackson-dataformats-binary_CVE-2020-28491_jackson-dataformats-binary-jackson-dataformats-binary-2.12.0.csv,jackson-dataformats-binary-jackson-dataformats-binary-2.12.1,https://github.com/FasterXML/jackson-dataformats-binary/releases/tag/jackson-dataformats-binary-2.12.1,https://github.com/FasterXML/jackson-dataformats-binary/archive/refs/tags/jackson-dataformats-binary-2.12.1.zip,jackson-dataformats-binary_CVE-2020-28491_jackson-dataformats-binary-jackson-dataformats-binary-2.12.1.csv
junit4,CVE-2020-15250,CWE-732,junit-team/junit4,junit4-r4.13,https://github.com/junit-team/junit4/releases/tag/r4.13,https://github.com/junit-team/junit4/archive/refs/tags/r4.13.zip,junit4_CVE-2020-15250_junit4-r4.13.csv,junit4-r4.13.1,https://github.com/junit-team/junit4/releases/tag/r4.13.1,https://github.com/junit-team/junit4/archive/refs/tags/r4.13.1.zip,junit4_CVE-2020-15250_junit4-r4.13.1.csv
